@RELATION DepthMaps 
@ATTRIBUTE dynamic_shape_context0 numeric
@ATTRIBUTE dynamic_shape_context1 numeric
@ATTRIBUTE dynamic_shape_context2 numeric
@ATTRIBUTE dynamic_shape_context3 numeric
@ATTRIBUTE dynamic_shape_context4 numeric
@ATTRIBUTE dynamic_shape_context5 numeric
@ATTRIBUTE dynamic_shape_context6 numeric
@ATTRIBUTE dynamic_shape_context7 numeric
@ATTRIBUTE dynamic_shape_context8 numeric
@ATTRIBUTE dynamic_shape_context9 numeric
@ATTRIBUTE dynamic_shape_context10 numeric
@ATTRIBUTE dynamic_shape_context11 numeric
@ATTRIBUTE dynamic_shape_context12 numeric
@ATTRIBUTE dynamic_shape_context13 numeric
@ATTRIBUTE dynamic_shape_context14 numeric
@ATTRIBUTE dynamic_shape_context15 numeric
@ATTRIBUTE dynamic_shape_context16 numeric
@ATTRIBUTE dynamic_shape_context17 numeric
@ATTRIBUTE dynamic_shape_context18 numeric
@ATTRIBUTE dynamic_shape_context19 numeric
@ATTRIBUTE dynamic_shape_context20 numeric
@ATTRIBUTE dynamic_shape_context21 numeric
@ATTRIBUTE dynamic_shape_context22 numeric
@ATTRIBUTE dynamic_shape_context23 numeric
@ATTRIBUTE dynamic_shape_context24 numeric
@ATTRIBUTE dynamic_shape_context25 numeric
@ATTRIBUTE dynamic_shape_context26 numeric
@ATTRIBUTE dynamic_shape_context27 numeric
@ATTRIBUTE dynamic_shape_context28 numeric
@ATTRIBUTE dynamic_shape_context29 numeric
@ATTRIBUTE dynamic_shape_context30 numeric
@ATTRIBUTE dynamic_shape_context31 numeric
@ATTRIBUTE dynamic_shape_context32 numeric
@ATTRIBUTE dynamic_shape_context33 numeric
@ATTRIBUTE dynamic_shape_context34 numeric
@ATTRIBUTE dynamic_shape_context35 numeric
@ATTRIBUTE dynamic_shape_context36 numeric
@ATTRIBUTE dynamic_shape_context37 numeric
@ATTRIBUTE dynamic_shape_context38 numeric
@ATTRIBUTE dynamic_shape_context39 numeric
@ATTRIBUTE dynamic_shape_context40 numeric
@ATTRIBUTE dynamic_shape_context41 numeric
@ATTRIBUTE dynamic_shape_context42 numeric
@ATTRIBUTE dynamic_shape_context43 numeric
@ATTRIBUTE dynamic_shape_context44 numeric
@ATTRIBUTE dynamic_shape_context45 numeric
@ATTRIBUTE dynamic_shape_context46 numeric
@ATTRIBUTE dynamic_shape_context47 numeric
@ATTRIBUTE dynamic_shape_context48 numeric
@ATTRIBUTE dynamic_shape_context49 numeric
@ATTRIBUTE class { A B C D E F G H I J K L M N O P Q R S T U V  } 

 @DATA 
-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,-0.136396,A
-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,-0.135468,A
-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,-0.135116,A
-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,-0.131137,A
-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,-0.129094,A
-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,-0.120291,A
-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,-0.120651,A
-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,A
-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,-0.122264,A
-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,-0.124924,A
-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,-0.125337,A
-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,-0.126311,A
-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,-0.125562,A
-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,-0.118285,A
-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,-0.123025,A
-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,-0.116115,A
-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,-0.122152,A
-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,-0.136643,B
-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,-0.140700,B
-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,-0.138865,B
-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,-0.138960,B
-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,-0.138710,B
-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,-0.138294,B
-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,-0.138036,B
-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,-0.136558,B
-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,-0.137665,B
-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,-0.137731,B
